internship_title,internship_company,required_skills,internship_location,required_education
Project Engineer,TATA POWER DELHI DISTRIBUTION LIMITED,"Grid Management, Maintenance, Energy Efficiency",Ahmedabad,MBA
Geologist,NAYARA ENERGY LIMITED,"Geology, Reservoir Engineering, Refining, Petroleum Engineering",Hyderabad,Diploma
IT Support,WHIRLPOOL OF INDIA LIMITED,"Java, Cloud Computing, Cybersecurity, React",Delhi,BA
Risk Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Risk Management, Wealth Management",Bangalore,Diploma
Construction Manager,DCM SHRIRAM LIMITED,"Surveying, Quality Control, Civil Engineering",Mumbai,M.Sc
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Drilling Operations, Field Operations",Kolkata,Diploma
Consumer Insights Analyst,ALEMBIC PHARMACEUTICALS LIMITED,"Distribution, Sales",Hyderabad,B.Sc
Safety Officer,OIL INDIA LIMITED,"Pipeline Maintenance, Reservoir Engineering, Field Operations",Chennai,MBA
Project Engineer,NHPC LIMITED,"Renewable Energy, Grid Management, Energy Efficiency, Thermal Power",Pune,MBA
Project Engineer,POWER GRID CORPORATION OF INDIA LIMITED,"Renewable Energy, Energy Efficiency",Ahmedabad,PhD
IT Support,INTERNATIONAL TRACTORS LIMITED,"Java, DevOps, React, Cybersecurity",Kolkata,B.Com
Environmental Officer,AIA ENGINEERING LIMITED,"Mineral Processing, Exploration",Lucknow,Diploma
Software Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"React, Cloud Computing, Cybersecurity",Remote,B.Tech
QA Engineer,SUNDARAM FINANCE LIMITED,"Python, SQL, Java, Machine Learning",Mumbai,MBA
Data Analyst,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"Data Analysis, Cloud Computing, Machine Learning, React",Chennai,PhD
Civil Engineer,WONDER CEMENT LIMITED,"Project Management, Quality Control, Safety Management",Mumbai,MBA
Web Developer,LTIMINDTREE LIMITED,"JavaScript, SQL, Cloud Computing, Java",Chennai,BA
Software Developer,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD,"React, SQL, Cybersecurity, Data Analysis",Chennai,B.Sc
IT Support,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"Machine Learning, Cloud Computing, Data Analysis, Python",Mumbai,B.Tech
QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, JavaScript",Bangalore,M.Sc
Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA
Construction Manager,GHARDA CHEMICALS LIMITED,"Safety Management, Quality Control",Jaipur,BA
Sales Executive,SUN PHARMACEUTICAL INDUSTRIES LIMITED,"Consumer Insights, Brand Management, Sales",Jaipur,BA
Grid Engineer,NTPC-SAIL POWER COMPANY LIMITED,"Thermal Power, Maintenance",Delhi,BBA
Safety Officer,THE RAMCO CEMENTS LIMITED,"Project Management, Quality Control, Construction Management",Mumbai,BCA
Ore Processing Technician,VEDANTA LIMITED,"Exploration, Environmental Compliance, Mining Engineering",Delhi,PhD
Exploration Geologist,HINDALCO INDUSTRIES LIMITED,"Safety Management, Exploration, Environmental Compliance, Surveying",Hyderabad,MBA
DevOps Engineer,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,"Cloud Computing, Java, Data Analysis",Bangalore,PhD
Network Engineer,ERICSSON INDIA PRIVATE LIMITED,"IoT, Telecom Infrastructure, Optical Fiber, Data Transmission",Hyderabad,Diploma
Software Developer,COCHIN SHIPYARD LIMITED,"React, SQL",Chennai,B.Sc
Web Developer,MRF LIMITED,"Java, Python, Cloud Computing",Lucknow,BCA
Mineral Processing Engineer,PRAKASH INDUSTRIES LIMITED,"Surveying, Safety Management",Chennai,BBA
DevOps Engineer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"React, DevOps",Mumbai,BCA
Cloud Architect,VENCO RESEARCH AND BREEDING FARM PRIVATE LIMITED,"DevOps, Python, React",Pune,BCA
QA Engineer,MUTHOOT FINANCE LIMITED,"Data Analysis, SQL, JavaScript, Cybersecurity",Bangalore,BCA
Software Developer,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD,"React, SQL, Cybersecurity, Data Analysis",Chennai,B.Sc
Web Developer,ENDURANCE TECHNOLOGIES LIMITED,"Cybersecurity, DevOps, Cloud Computing",Mumbai,B.Tech
QA Engineer,HSBC SOFTWARE DEVELOPMENT (INDIA) PRIVATE LIMITED,"Cybersecurity, Machine Learning",Pune,BBA
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"DevOps, Machine Learning",Hyderabad,M.Sc
Machine Learning Engineer,SOBHA LIMITED,"JavaScript, SQL",Pune,MBA
QA Engineer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"React, Cybersecurity, Data Analysis, JavaScript",Chennai,B.Tech
Surveyor,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,"Structural Design, Surveying, Safety Management, Quality Control",Hyderabad,MBA
IT Support,BA CONTINUUM INDIA PRIVATE LIMITED,"SQL, React, Machine Learning, JavaScript",Bangalore,B.Sc
Ore Processing Technician,RUNGTA MINES LIMITED,"Ore Processing, Mining Engineering",Pune,MBA
IT Support,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"Java, Cloud Computing, Python",Delhi,B.Tech
Machine Learning Engineer,CAN FIN HOMES LIMITED,"Cloud Computing, DevOps, Data Analysis",Jaipur,MBA
Web Developer,SIEMENS LIMITED,"React, SQL",Kolkata,BCA
Risk Analyst,THE NEW INDIA ASSURANCE COMPANY LIMITED,"Investment Banking, Loan Processing",Pune,BCA
Surveyor,TUBE INVESTMENTS OF INDIA LIMITED,"Exploration, Geology, Mineral Processing",Chennai,MBA
Procurement Executive,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Warehouse Operations, Distribution",Mumbai,Diploma
Renewable Energy Specialist,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Grid Management, Electrical Engineering",Mumbai,B.Com
R&D Engineer,HP INDIA SALES PRIVATE LIMITED,"Embedded Systems, Manufacturing, Testing",Chennai,BCA
DevOps Engineer,BRAKES INDIA PRIVATE LIMITED,"React, SQL, DevOps",Pune,B.Com
DevOps Engineer,MANAPPURAM FINANCE LIMITED,"Cloud Computing, Java, Data Analysis",Delhi,BBA
Mineral Processing Engineer,CENTRAL COALFIELDS LIMITED,"Mining Engineering, Geology",Remote,Diploma
Surveyor,BIOP STEELS & POWER PRIVATE LIMITED,"Geology, Surveying",Jaipur,BA
Construction Manager,MSPL LIMITED,"Construction Management, Estimation, Civil Engineering",Lucknow,B.Tech
QA Engineer,HDB FINANCIAL SERVICES LIMITED,"Java, Python, Machine Learning, Cybersecurity",Kolkata,B.Sc
Supply Chain Analyst,RELIANCE RETAIL VENTURES LIMITED,"Supply Chain, Consumer Insights, Sales, Retail Management",Jaipur,M.Sc
Brand Manager,PFIZER LIMITED,"Distribution, Sales, Product Development",Chennai,PhD
Cloud Architect,ASIAN PAINTS LIMITED,"Machine Learning, Python, JavaScript",Hyderabad,B.Sc
Mineral Processing Engineer,KIOCL LIMITED,"Ore Processing, Environmental Compliance, Exploration, Surveying",Chennai,B.Sc
Data Analyst,WNS GLOBAL SERVICES PRIVATE LIMITED,"Python, React, Java",Hyderabad,B.Com
Freight Coordinator,ADANI HAZIRA PORT LIMITED,"Warehouse Operations, Supply Chain Management",Jaipur,B.Sc
Supply Chain Analyst,DIVI S LABORATORIES LIMITED,"Supply Chain, Sales",Remote,BCA
Machine Learning Engineer,GODREJ SEEDS & GENETICS LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech
Data Analyst,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,"JavaScript, React",Hyderabad,BA
Data Analyst,THE CLEARING CORPORATION OF INDIA LIMITED,"Java, Cloud Computing",Mumbai,MBA
Machine Learning Engineer,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"React, SQL, Cloud Computing, Python",Remote,B.Sc
Data Analyst,ADOBE SYSTEMS INDIA PRIVATE LIMITED,"Cloud Computing, JavaScript, Python",Delhi,BBA
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"Machine Learning, JavaScript, SQL",Pune,BBA
Data Analyst,NOKIA SOLUTIONS AND NETWORKS INDIA PRIVATE LIMITED,"RF Engineering, Optical Fiber",Hyderabad,MBA
Surveyor,TUBE INVESTMENTS OF INDIA LIMITED,"Exploration, Geology, Mineral Processing",Chennai,MBA
Construction Manager,MODERN ROAD MAKERS P LTD,"Construction Management, Quality Control, Surveying",Chennai,Diploma
Software Developer,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"JavaScript, Python, Machine Learning, DevOps",Kolkata,B.Com
Brand Manager,GLENMARK PHARMACEUTICALS LIMITED,"Brand Management, Marketing, Product Development, Distribution",Kolkata,BA
Safety Officer,BHUSHAN POWER & STEEL LIMITED,"Ore Processing, Exploration, Surveying, Environmental Compliance",Remote,B.Com
QA Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"DevOps, SQL",Delhi,B.Tech
Project Engineer,JSW ENERGY (BARMER) LIMITED,"Transmission, Maintenance, Grid Management",Lucknow,MBA
Supply Chain Analyst,HINDUSTAN COCA-COLA BEVERAGES PRIVATE LIMITED,"Sales, Brand Management, Distribution, Product Development",Bangalore,B.Sc
Consumer Insights Analyst,ALEMBIC PHARMACEUTICALS LIMITED,"Distribution, Sales",Hyderabad,B.Sc
Safety Officer,ODISHA MINING CORPORATION LIMITED,"Mineral Processing, Surveying, Exploration, Ore Processing",Hyderabad,B.Tech
Consumer Insights Analyst,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,"Marketing, Consumer Insights, Supply Chain",Pune,Diploma
Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech
Transportation Specialist,CONTAINER CORPORATION OF INDIA LIMITED,"Procurement, Warehouse Operations, Freight Management",Mumbai,BCA
Supply Chain Analyst,RELIANCE RETAIL VENTURES LIMITED,"Supply Chain, Consumer Insights, Sales, Retail Management",Jaipur,M.Sc
Software Developer,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX),"Cloud Computing, Machine Learning, Cybersecurity, Java",Jaipur,M.Sc
Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech
Machine Learning Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"Data Analysis, Machine Learning, React",Mumbai,BBA
Data Analyst,FINOLEX CABLES LIMITED,"Python, Cloud Computing",Bangalore,B.Sc
IT Support,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Machine Learning, Cybersecurity, Cloud Computing, JavaScript",Hyderabad,MBA
Software Developer,IIFL HOME FINANCE LIMITED,"JavaScript, Java, SQL, DevOps",Bangalore,B.Tech
Network Engineer,INDUS TOWERS LIMITED,"Optical Fiber, Wireless Communication",Lucknow,MBA
Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc
Safety Officer,RASHMI CEMENT LIMITED,"Civil Engineering, Safety Management",Delhi,BBA
Civil Engineer,TRIDENT LIMITED,"Civil Engineering, Project Management",Hyderabad,PhD
Machine Learning Engineer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Python, Machine Learning",Lucknow,B.Tech
Financial Analyst,ICICI BANK LIMITED,"Auditing, Financial Analysis",Kolkata,M.Sc
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Marketing, Supply Chain, Brand Management, Distribution",Mumbai,BA
Structural Engineer,FINOLEX INDUSTRIES LIMITED,"Construction Management, Estimation",Ahmedabad,MBA
Sales Executive,DABUR INDIA LIMITED,"Distribution, Consumer Insights, Product Development",Remote,B.Tech
Civil Engineer,JCB INDIA LIMITED,"Project Management, Construction Management, Structural Design",Remote,B.Com
Civil Engineer,GHCL LIMITED,"Quality Control, Safety Management, Construction Management, Project Management",Bangalore,BBA
IT Support,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"Machine Learning, Cloud Computing, Data Analysis, Python",Mumbai,B.Tech
IT Support,KITEX CHILDRENSWEAR LIMITED,"React, DevOps, Java, JavaScript",Hyderabad,BA
Cloud Architect,CYIENT LIMITED,"Data Analysis, DevOps, JavaScript, React",Chennai,Diploma
Web Developer,INFOSYS LIMITED,"Java, Data Analysis, React",Delhi,BCA
Retail Manager,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,"Product Development, Consumer Insights, Supply Chain",Jaipur,BCA
Web Developer,BHARAT FORGE LTD,"Cybersecurity, Python, React",Mumbai,BCA
Supply Chain Analyst,EMCURE PHARMACEUTICALS LIMITED,"Retail Management, Marketing, Product Development",Pune,B.Sc
QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, Java",Mumbai,PhD
Mineral Processing Engineer,UTKAL ALUMINA INTERNATIONAL LIMITED.,"Safety Management, Mineral Processing",Remote,Diploma
Drilling Engineer,HINDUSTAN PETROLEUM CORPORATION LIMITED,"Pipeline Maintenance, Geology, Petroleum Engineering",Mumbai,B.Com
Software Developer,PNB HOUSING FINANCE LIMITED,"SQL, React",Jaipur,BBA
Marketing Executive,DR.REDDY S LABORATORIES LTD,"Supply Chain, Marketing",Jaipur,PhD
Site Engineer,KEC INTERNATIONAL LIMITED,"Safety Management, Surveying, Structural Design, Project Management",Kolkata,MBA
QA Engineer,GOOGLE IT SERVICES INDIA PRIVATE LIMITED,"Python, Cybersecurity, React, JavaScript",Lucknow,B.Sc
Cloud Architect,M.P. AGROTONICS LIMITED,"Python, React",Delhi,B.Com
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA
Credit Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Risk Management, Auditing",Hyderabad,BA
Cloud Architect,BAJAJ AUTO LIMITED.,"Cybersecurity, JavaScript, SQL, Cloud Computing",Hyderabad,BBA
Brand Manager,AVENUE SUPERMARTS LIMITED,"Brand Management, Consumer Insights, Product Development, Marketing",Delhi,BA
Relationship Manager,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Accounting",Pune,MBA
Risk Analyst,AXIS BANK LIMITED,"Financial Analysis, Investment Banking, Taxation",Delhi,B.Com
Cloud Architect,VENCO RESEARCH AND BREEDING FARM PRIVATE LIMITED,"DevOps, Python, React",Pune,BCA
DevOps Engineer,DELOITTE CONSULTING INDIA PRIVATE LIMITED,"Java, Python, JavaScript, Machine Learning",Mumbai,B.Com
DevOps Engineer,ORACLE INDIA PRIVATE LIMITED,"DevOps, Java, Data Analysis, SQL",Chennai,B.Sc
Machine Learning Engineer,VARSITY EDUCATION MANAGEMENT PRIVATE LIMITED,"Data Analysis, Python, React, DevOps",Chennai,MBA
Site Engineer,NHDC LIMITED,"Quality Control, Estimation, Structural Design",Kolkata,MBA
Machine Learning Engineer,ORACLE INDIA PRIVATE LIMITED,"Machine Learning, React, Data Analysis, Python",Mumbai,MBA
Software Developer,MACROTECH DEVELOPERS LIMITED,"Java, Python",Jaipur,BCA
Safety Officer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Mining Engineering, Safety Management, Environmental Compliance, Geology",Mumbai,BBA
Cloud Architect,KAJARIA CERAMICS LIMITED,"React, Java, JavaScript, DevOps",Ahmedabad,BBA
Software Developer,MUTHOOT FINANCE LIMITED,"Data Analysis, Cybersecurity, Java, Python",Ahmedabad,M.Sc
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Geology, Safety Management, Mining Engineering, Ore Processing",Kolkata,B.Sc
DevOps Engineer,DLF LIMITED,"Python, SQL, Cybersecurity",Kolkata,BA
Software Developer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"DevOps, JavaScript, Data Analysis, Cloud Computing",Bangalore,BBA
Web Developer,DEUTSCHE INDIA PRIVATE LIMITED,"React, Java, Cybersecurity",Pune,BA
Civil Engineer,GHCL LIMITED,"Project Management, Civil Engineering, Structural Design, Surveying",Chennai,BCA
Data Analyst,SOBHA LIMITED,"Java, Data Analysis, Python, React",Hyderabad,Diploma
Risk Analyst,THE NEW INDIA ASSURANCE COMPANY LIMITED,"Investment Banking, Loan Processing",Pune,BCA
Machine Learning Engineer,FINOLEX CABLES LIMITED,"SQL, DevOps",Mumbai,B.Com
Retail Manager,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,"Product Development, Consumer Insights, Supply Chain",Jaipur,BCA
Project Engineer,GAWAR CONSTRUCTION LIMITED.,"Project Management, Construction Management, Safety Management, Structural Design",Chennai,B.Sc
Customer Support Engineer,TATA COMMUNICATIONS LIMITED,"Wireless Communication, RF Engineering",Chennai,B.Com
IT Support,VMWARE SOFTWARE INDIA PRIVATE LIMITED,"React, Machine Learning",Mumbai,Diploma
Exploration Geologist,STEEL AUTHORITY OF INDIA LIMITED,"Exploration, Environmental Compliance, Mineral Processing",Hyderabad,Diploma
Credit Analyst,CITY UNION BANK LIMITED,"Financial Modeling, Accounting, Taxation, Financial Analysis",Ahmedabad,BA
Consumer Insights Analyst,MANKIND PHARMA LIMITED,"Consumer Insights, Marketing",Kolkata,BCA
Web Developer,SIEMENS LIMITED,"React, SQL",Kolkata,BCA
Cloud Architect,PRESTIGE ESTATES PROJECTS LIMITED,"Java, DevOps, Machine Learning, JavaScript",Ahmedabad,BBA
Treasury Analyst,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Financial Analysis, Auditing, Taxation, Wealth Management",Bangalore,BA
Cloud Architect,ASIAN PAINTS LIMITED,"Machine Learning, Python, JavaScript",Hyderabad,B.Sc
Web Developer,LTIMINDTREE LIMITED,"JavaScript, SQL, Cloud Computing, Java",Chennai,BA
Data Analyst,INFO EDGE (INDIA) LIMITED,"SQL, Machine Learning, Java, DevOps",Lucknow,BBA
DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"JavaScript, Cloud Computing",Kolkata,Diploma
Environmental Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Geology, Safety Management",Kolkata,MBA
Web Developer,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PRIVATE LIMITED,"Cloud Computing, JavaScript",Ahmedabad,MBA
Site Engineer,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Project Management, Estimation, Surveying",Mumbai,B.Tech
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech
Retail Manager,MANKIND PHARMA LIMITED,"Brand Management, Consumer Insights, Distribution",Jaipur,BBA
Surveyor,GAWAR CONSTRUCTION LIMITED.,"Civil Engineering, Construction Management, Surveying, Structural Design",Bangalore,Diploma
Data Analyst,WNS GLOBAL SERVICES PRIVATE LIMITED,"Python, React, Java",Hyderabad,B.Com
Safety Officer,BHUSHAN POWER & STEEL LIMITED,"Ore Processing, Exploration, Surveying, Environmental Compliance",Remote,B.Com
Machine Learning Engineer,MARUTI SUZUKI INDIA LIMITED,"JavaScript, Machine Learning, Java, Python",Remote,B.Tech
Distribution Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Marketing, Product Development, Distribution, Consumer Insights",Jaipur,MBA
QA Engineer,ASHOK LEYLAND LIMITED,"Java, Machine Learning, Data Analysis",Lucknow,BBA
Electrical Engineer,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Grid Management, Electrical Engineering",Jaipur,PhD
QA Engineer,BAGMANE DEVELOPERS PRIVATE LIMITED,"Cybersecurity, Machine Learning, Cloud Computing, Java",Bangalore,PhD
IT Support,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"Java, Cloud Computing, Python",Delhi,B.Tech
Data Analyst,INFO EDGE (INDIA) LIMITED,"SQL, Machine Learning, Java, DevOps",Lucknow,BBA
Safety Officer,BRAHMAPUTRA CRACKER AND POLYMER LIMITED,"Structural Design, Surveying",Lucknow,PhD
Software Developer,SUNDRAM FASTENERS LIMITED,"Machine Learning, JavaScript",Kolkata,M.Sc
Sales Executive,DHARAMPAL SATYAPAL LIMITED,"Sales, Brand Management, Marketing",Lucknow,B.Com
Site Engineer,WONDER CEMENT LIMITED,"Civil Engineering, Structural Design",Ahmedabad,B.Sc
Mining Engineer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Exploration, Mineral Processing",Jaipur,BCA
Cloud Architect,L&T TECHNOLOGY SERVICES LIMITED,"Java, JavaScript, Python, Machine Learning",Pune,MBA
DevOps Engineer,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,"Cloud Computing, Java, Data Analysis",Bangalore,PhD
Web Developer,ENDURANCE TECHNOLOGIES LIMITED,"Cybersecurity, DevOps, Cloud Computing",Mumbai,B.Tech
Machine Learning Engineer,CAN FIN HOMES LIMITED,"Cloud Computing, DevOps, Data Analysis",Jaipur,MBA
Surveyor,COROMANDEL INTERNATIONAL LIMITED,"Civil Engineering, Construction Management, Safety Management, Project Management",Ahmedabad,M.Sc
Structural Engineer,GUJARAT ALKALIES AND CHEMICALS LIMITED,"Estimation, Construction Management",Mumbai,Diploma
Machine Learning Engineer,TATA CONSULTANCY SERVICES LIMITED,"Java, DevOps, SQL, Cybersecurity",Kolkata,B.Sc
Distribution Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Marketing, Product Development, Distribution, Consumer Insights",Jaipur,MBA
Supply Chain Analyst,HINDUSTAN COCA-COLA BEVERAGES PRIVATE LIMITED,"Sales, Brand Management, Distribution, Product Development",Bangalore,B.Sc
Construction Manager,ATUL LIMITED,"Safety Management, Civil Engineering, Quality Control",Jaipur,B.Sc
Exploration Geologist,STEEL AUTHORITY OF INDIA LIMITED,"Ore Processing, Mineral Processing, Surveying, Environmental Compliance",Mumbai,M.Sc
Software Developer,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Cybersecurity, SQL, Machine Learning, DevOps",Pune,BA
QA Engineer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"React, Cybersecurity, Data Analysis, JavaScript",Chennai,B.Tech
Brand Manager,PIRAMAL PHARMA LIMITED,"Marketing, Sales, Consumer Insights",Lucknow,BCA
Software Developer,COCHIN SHIPYARD LIMITED,"React, SQL",Chennai,B.Sc
